full_name,html_url,pushed_at,updated_at,owner
jamalmohamed/Hassan_OUDSA5900,https://github.com/jamalmohamed/Hassan_OUDSA5900,2022-05-04T17:41:41Z,2022-01-31T15:59:35Z,jamalmohamed
jawhipple/WHIPPLE_OUDSA5900,https://github.com/jawhipple/WHIPPLE_OUDSA5900,2024-01-27T04:07:12Z,2024-01-25T04:39:36Z,jawhipple
jayasimhareddy27/DSAI-5900-course,https://github.com/jayasimhareddy27/DSAI-5900-course,2025-03-28T00:40:32Z,2025-03-28T00:40:42Z,jayasimhareddy27
jdhelms1330/Helms_OUDSA5900,https://github.com/jdhelms1330/Helms_OUDSA5900,2025-08-25T21:00:11Z,2025-08-25T21:00:14Z,jdhelms1330
jntran08/Speech_Recognition_Analysis,https://github.com/jntran08/Speech_Recognition_Analysis,2021-07-13T03:21:25Z,2023-11-13T16:02:35Z,jntran08
JoFlynn22/Flynn_OUDSA5900,https://github.com/JoFlynn22/Flynn_OUDSA5900,2024-04-28T05:37:20Z,2024-04-28T05:37:23Z,JoFlynn22
jone2900/jones_OUDSA5900,https://github.com/jone2900/jones_OUDSA5900,2022-03-22T01:18:23Z,2022-01-30T22:05:37Z,jone2900
Jordan-Daugherty-1/Daugherty_OUDSA5900,https://github.com/Jordan-Daugherty-1/Daugherty_OUDSA5900,2022-07-11T16:30:33Z,2022-05-18T00:30:09Z,Jordan-Daugherty-1
josudha10/Jonnakuti_OUDSA5900,https://github.com/josudha10/Jonnakuti_OUDSA5900,2023-01-26T19:58:58Z,2023-01-26T19:58:58Z,josudha10
jsturges28/Image-Recreation,https://github.com/jsturges28/Image-Recreation,2023-01-12T21:50:15Z,2023-08-29T05:15:04Z,jsturges28
jt-reich/Reich_OUDSA5900,https://github.com/jt-reich/Reich_OUDSA5900,2022-06-21T00:10:14Z,2022-05-30T16:38:36Z,jt-reich
Judah99/-odiachi-_OUDSA5900,https://github.com/Judah99/-odiachi-_OUDSA5900,2021-07-14T16:24:26Z,2021-07-14T16:24:30Z,Judah99
JUmaMaheshwarReddy/Jangalapalli_OUDSA5900,https://github.com/JUmaMaheshwarReddy/Jangalapalli_OUDSA5900,2023-10-29T20:27:38Z,2023-04-11T23:34:05Z,JUmaMaheshwarReddy
Karen5630/Ochie_OUDSA5900,https://github.com/Karen5630/Ochie_OUDSA5900,2022-05-24T02:13:06Z,2022-05-24T02:13:09Z,Karen5630
kaustubhpandeou/Pande_OUDSA5900,https://github.com/kaustubhpandeou/Pande_OUDSA5900,2023-03-21T03:49:52Z,2023-03-21T01:56:58Z,kaustubhpandeou
Kayodex29/Sanni_OUDSA5900,https://github.com/Kayodex29/Sanni_OUDSA5900,2024-07-20T19:56:17Z,2024-07-20T19:56:22Z,Kayodex29
keerthiOU/mora_OUDSA5900,https://github.com/keerthiOU/mora_OUDSA5900,2025-02-13T16:31:56Z,2025-02-14T16:11:51Z,keerthiOU
Kelly-Ateya/Tendongkeng_OUDSA5900,https://github.com/Kelly-Ateya/Tendongkeng_OUDSA5900,2025-11-27T18:41:17Z,2025-11-27T18:41:20Z,Kelly-Ateya
kevinpham-ou/Pham_OUDSA5900,https://github.com/kevinpham-ou/Pham_OUDSA5900,2025-08-27T13:30:06Z,2025-08-27T13:30:06Z,kevinpham-ou
KiranKumarMurugan/Murugan_OUDSA5900,https://github.com/KiranKumarMurugan/Murugan_OUDSA5900,2024-04-27T22:57:17Z,2024-04-27T22:57:20Z,KiranKumarMurugan
Kovida98/Mothukuri_OUDSA5900,https://github.com/Kovida98/Mothukuri_OUDSA5900,2023-10-20T17:37:41Z,2023-08-27T20:58:44Z,Kovida98
kylefan48/Ferguson_OUDSA5900,https://github.com/kylefan48/Ferguson_OUDSA5900,2023-08-24T19:13:48Z,2023-08-24T19:10:58Z,kylefan48
kylejames2424/james_OUDSA5900,https://github.com/kylejames2424/james_OUDSA5900,2023-07-24T14:31:58Z,2023-07-20T18:58:38Z,kylejames2424
LakshmiBhavaniUppaluri/Uppaluri_OUDSA5900,https://github.com/LakshmiBhavaniUppaluri/Uppaluri_OUDSA5900,2023-09-02T02:28:15Z,2023-09-02T02:28:15Z,LakshmiBhavaniUppaluri
