full_name,html_url,pushed_at,updated_at,owner
Reed-OKC/Bryant_OUDSA5900,https://github.com/Reed-OKC/Bryant_OUDSA5900,2025-08-15T15:17:33Z,2025-08-15T15:17:37Z,Reed-OKC
rheahanks/Hanks_OUDSA5900,https://github.com/rheahanks/Hanks_OUDSA5900,2022-04-28T14:11:48Z,2022-04-18T23:43:41Z,rheahanks
Rithsek99/ngem_OUDSA5900,https://github.com/Rithsek99/ngem_OUDSA5900,2023-05-30T19:44:10Z,2023-05-30T19:44:50Z,Rithsek99
rlhull6/dsastackoverflow,https://github.com/rlhull6/dsastackoverflow,2021-05-03T07:34:31Z,2021-05-03T07:34:34Z,rlhull6
rosa0002/Rosa_OUDSA5900,https://github.com/rosa0002/Rosa_OUDSA5900,2023-05-11T09:35:55Z,2023-05-11T09:36:00Z,rosa0002
RunshengZhou/ZHOU_OUDSA5900,https://github.com/RunshengZhou/ZHOU_OUDSA5900,2022-05-23T08:01:14Z,2022-05-23T08:05:10Z,RunshengZhou
RunshengZhou/Zhou_OUDSA5900-Fall-2021,https://github.com/RunshengZhou/Zhou_OUDSA5900-Fall-2021,2021-12-07T14:46:11Z,2022-05-23T08:04:45Z,RunshengZhou
saikiran-reddy/mamidi_OUDSA5900,https://github.com/saikiran-reddy/mamidi_OUDSA5900,2021-03-19T01:43:56Z,2021-03-19T01:43:58Z,saikiran-reddy
SaisriPotluru/Potluru_OUDSA5900,https://github.com/SaisriPotluru/Potluru_OUDSA5900,2021-05-03T17:20:53Z,2021-05-03T17:20:55Z,SaisriPotluru
saket2431/Srivastava_OUDSA5900,https://github.com/saket2431/Srivastava_OUDSA5900,2022-01-31T20:19:05Z,2022-01-31T20:29:25Z,saket2431
samuelrodrigonza/rodriguez_OUDSA5900-,https://github.com/samuelrodrigonza/rodriguez_OUDSA5900-,2022-11-28T07:20:26Z,2022-11-28T07:19:46Z,samuelrodrigonza
Shahzad-Ansari/DSA-CAPSTONE,https://github.com/Shahzad-Ansari/DSA-CAPSTONE,2023-05-04T01:34:37Z,2023-05-03T21:43:25Z,Shahzad-Ansari
shai0002/Social-Media-Analysis-on-Missing-and-Murdered-Indigenous-Women-using-Data-Science-and-Analytics,https://github.com/shai0002/Social-Media-Analysis-on-Missing-and-Murdered-Indigenous-Women-using-Data-Science-and-Analytics,2021-05-08T22:10:05Z,2021-06-10T20:13:54Z,shai0002
Shimairi/shimamura_OUDSA5900,https://github.com/Shimairi/shimamura_OUDSA5900,2024-04-27T23:49:42Z,2024-04-27T23:49:45Z,Shimairi
sivareddy-thummuri/Thummuri_OUDSA5900,https://github.com/sivareddy-thummuri/Thummuri_OUDSA5900,2024-04-28T20:51:52Z,2024-04-28T20:51:55Z,sivareddy-thummuri
Sonaxy/COVID19-predictions-using-HTS,https://github.com/Sonaxy/COVID19-predictions-using-HTS,2024-10-07T21:28:43Z,2024-10-07T21:28:47Z,Sonaxy
songyuan93/YAO_OUDSA5900,https://github.com/songyuan93/YAO_OUDSA5900,2023-03-30T01:20:35Z,2023-01-25T04:27:16Z,songyuan93
Sowmyareddy30/Gangireddy_OUDSA59000,https://github.com/Sowmyareddy30/Gangireddy_OUDSA59000,2025-05-02T15:20:26Z,2025-05-02T15:20:29Z,Sowmyareddy30
steimel60/Steimel_OUDSA5900,https://github.com/steimel60/Steimel_OUDSA5900,2023-08-03T19:17:37Z,2023-12-06T13:35:33Z,steimel60
sule0000/Suleiman_OUDSA5900,https://github.com/sule0000/Suleiman_OUDSA5900,2025-08-30T01:15:34Z,2025-08-30T01:15:37Z,sule0000
tahamitofique/tofique_OUDSA5900,https://github.com/tahamitofique/tofique_OUDSA5900,2022-08-18T07:44:59Z,2022-06-17T12:34:27Z,tahamitofique
Tarini-Singh/Singh_OUDSA5900,https://github.com/Tarini-Singh/Singh_OUDSA5900,2021-03-13T03:44:17Z,2021-03-13T03:44:19Z,Tarini-Singh
taylorkeller/Keller_OUDSA5900,https://github.com/taylorkeller/Keller_OUDSA5900,2025-11-17T01:45:26Z,2025-11-17T01:45:30Z,taylorkeller
TengnanYao/Yao_DSA5900,https://github.com/TengnanYao/Yao_DSA5900,2021-10-26T13:28:45Z,2021-10-26T13:28:48Z,TengnanYao
ThaoVyNgo/Predict-RUL-maintenance,https://github.com/ThaoVyNgo/Predict-RUL-maintenance,2024-04-27T23:14:31Z,2025-04-24T20:49:07Z,ThaoVyNgo
thesoftmachine/Pratt_OUDSA5900,https://github.com/thesoftmachine/Pratt_OUDSA5900,2021-08-02T02:46:25Z,2021-08-02T02:46:27Z,thesoftmachine
thok0001/Thokala__OUDSA5900,https://github.com/thok0001/Thokala__OUDSA5900,2023-07-20T23:49:16Z,2023-05-17T23:43:51Z,thok0001
ThreeStrings/herman_OUDSA5900,https://github.com/ThreeStrings/herman_OUDSA5900,2023-02-17T14:29:07Z,2022-10-05T06:53:01Z,ThreeStrings
tientran56151/Tran_OUDSA5900,https://github.com/tientran56151/Tran_OUDSA5900,2023-10-20T16:18:54Z,2023-08-30T21:47:28Z,tientran56151
tobeanya/Anyaezu_OUDSA5900,https://github.com/tobeanya/Anyaezu_OUDSA5900,2022-08-15T14:33:20Z,2022-07-05T20:18:00Z,tobeanya
tuckwise/Capps_OUDSA5900,https://github.com/tuckwise/Capps_OUDSA5900,2024-07-20T01:48:44Z,2024-07-20T01:48:47Z,tuckwise
TylerBrown117/Brown_OUDSA5900,https://github.com/TylerBrown117/Brown_OUDSA5900,2021-07-30T04:30:17Z,2021-07-30T04:30:19Z,TylerBrown117
usma92/Balan_OUDSA5900,https://github.com/usma92/Balan_OUDSA5900,2023-04-25T15:17:57Z,2023-04-24T13:54:11Z,usma92
Varshithavn/Vasireddy_OUDSA5900,https://github.com/Varshithavn/Vasireddy_OUDSA5900,2023-05-02T08:41:08Z,2023-02-24T02:06:45Z,Varshithavn
Varun-Chowdary/Hallucination-detector,https://github.com/Varun-Chowdary/Hallucination-detector,2024-07-02T19:47:25Z,2024-07-03T16:01:43Z,Varun-Chowdary
Vidyadhari6/Maddukuri_OUDSA5900,https://github.com/Vidyadhari6/Maddukuri_OUDSA5900,2021-05-01T04:54:01Z,2021-05-01T04:54:04Z,Vidyadhari6
vigneshv1cky/DSA_5900-Professional-Practice-Spring-2025,https://github.com/vigneshv1cky/DSA_5900-Professional-Practice-Spring-2025,2025-04-27T19:17:28Z,2025-04-29T05:39:17Z,vigneshv1cky
vivek-del/Talluri_OUDSA5900,https://github.com/vivek-del/Talluri_OUDSA5900,2025-10-10T17:40:17Z,2025-10-10T17:40:21Z,vivek-del
wboncal/Boncal_OUDSA5900,https://github.com/wboncal/Boncal_OUDSA5900,2022-12-13T06:09:25Z,2022-10-10T04:48:04Z,wboncal
whellier/Practicum-Project,https://github.com/whellier/Practicum-Project,2022-05-03T15:20:51Z,2022-04-30T03:52:07Z,whellier
willowarana/arana_OUDSA5900,https://github.com/willowarana/arana_OUDSA5900,2024-04-28T20:34:53Z,2024-02-02T15:40:25Z,willowarana
y-abuawad/abuawad_OUDSA5900,https://github.com/y-abuawad/abuawad_OUDSA5900,2025-08-29T20:39:16Z,2025-08-29T20:39:19Z,y-abuawad
YangZhou-1/Zhou_OUDSA5900,https://github.com/YangZhou-1/Zhou_OUDSA5900,2022-10-23T13:36:13Z,2022-08-26T05:23:21Z,YangZhou-1
Yashasvi9849/Musku_5900,https://github.com/Yashasvi9849/Musku_5900,2025-01-24T16:22:50Z,2025-01-24T16:22:53Z,Yashasvi9849
Yashaswi-Dantala/Dantala_OUDSA5900,https://github.com/Yashaswi-Dantala/Dantala_OUDSA5900,2025-09-06T02:43:47Z,2025-09-06T02:49:30Z,Yashaswi-Dantala
yhlines/LINOUDSA5900,https://github.com/yhlines/LINOUDSA5900,2022-07-16T05:12:20Z,2022-02-07T19:18:15Z,yhlines
ZacharyBurton/Burton_OUDSA5900,https://github.com/ZacharyBurton/Burton_OUDSA5900,2022-11-04T00:57:48Z,2022-11-04T00:57:14Z,ZacharyBurton
ZackaryHoyt/HOYT_OUDSA5900,https://github.com/ZackaryHoyt/HOYT_OUDSA5900,2021-05-05T07:35:32Z,2021-05-05T07:35:35Z,ZackaryHoyt
zknepp1/AI-Models-for-Investment-Portfolio-Development,https://github.com/zknepp1/AI-Models-for-Investment-Portfolio-Development,2024-01-08T16:20:47Z,2024-01-04T20:40:42Z,zknepp1
